cleaned_city_1,cleaned_city_2,original_city_1,original_city_2
Trondheim,Ponta Delgada,Trondheim,Ponta Delgada
Trondheim,Ancona,Trondheim,Ancona
Trondheim,Ålesund,Trondheim,Ålesund
Trondheim,Manchester,Trondheim,Manchester
Trondheim,Vágar,Trondheim,Vágar
Trondheim,Funchal,Trondheim,Funchal
Trondheim,Krasnoyarsk,Trondheim,Krasnoyarsk
Trondheim,Syktyvkar,Trondheim,Syktyvkar
Trondheim,Pescara,Trondheim,Pescara
Trondheim,Bragança,Trondheim,Bragança
Trondheim,Wrocław,Trondheim,Wrocław
Mykonos,Izhevsk,Mykonos,Izhevsk
Mykonos,Krasnodar,Mykonos,Krasnodar
Mykonos,Parma ,Mykonos,Parma (PR)
Mykonos,Catania,Mykonos,Catania
Mykonos,Bodø,Mykonos,Bodø
Mykonos,Bournemouth,Mykonos,Bournemouth
Mykonos,Murmansk,Mykonos,Murmansk
Mykonos,Frankfurt am Main,Mykonos,Frankfurt am Main
Mykonos,Umeå,Mykonos,Umeå
Mykonos,Łódź,Mykonos,Łódź
Mykonos,Genova ,Mykonos,Genova (GE)
Mykonos,Almería,Mykonos,Almería
Mykonos,Crete Island,Mykonos,Crete Island
Mykonos,Ivalo,Mykonos,Ivalo
Mykonos,Ivanovo,Mykonos,Ivanovo
Mykonos,Vigo,Mykonos,Vigo
Mykonos,Minsk,Mykonos,Minsk
Mykonos,Seville,Mykonos,Sevilla
Mykonos,Girona,Mykonos,Girona
Mykonos,Magnitogorsk,Mykonos,Magnitogorsk
Mykonos,Zgornji Brnik,Mykonos,Zgornji Brnik
Mykonos,Cherepovets,Mykonos,Cherepovets
Mykonos,Pisa,Mykonos,Pisa
Mykonos,Valletta,Mykonos,Valletta
Mykonos,Voronezh,Mykonos,Voronezh
Mykonos,Vila Real,Mykonos,Vila Real
Mykonos,Penza,Mykonos,Penza
Mykonos,Makhachkala,Mykonos,Makhachkala
Mykonos,Spata-Artemida,Mykonos,Spata-Artemida
Mykonos,"Luton, Bedfordshire",Mykonos,"Luton, Bedfordshire"
Mykonos,Čilipi,Mykonos,Čilipi
Mykonos,Olbia ,Mykonos,Olbia (SS)
Mykonos,Hanover,Mykonos,Hannover
Mykonos,"Norwich, Norfolk",Mykonos,"Norwich, Norfolk"
Mykonos,Nottingham,Mykonos,Nottingham
Mykonos,Sibiu,Mykonos,Sibiu
Mykonos,Saint Anne,Mykonos,Saint Anne
Mykonos,Maastricht,Mykonos,Maastricht
Mykonos,Vilnius,Mykonos,Vilnius
Mykonos,Debrecen,Mykonos,Debrecen
Mykonos,Lesquin,Mykonos,Lesquin
Mykonos,Perugia,Mykonos,Perugia
Mykonos,Lisbon,Mykonos,Lisbon
Mykonos,Gothenburg,Mykonos,Gothenburg
Mykonos,Ponta Delgada,Mykonos,Ponta Delgada
Mykonos,Ancona,Mykonos,Ancona
Mykonos,Ålesund,Mykonos,Ålesund
Mykonos,Manchester,Mykonos,Manchester
Mykonos,Vágar,Mykonos,Vágar
Mykonos,Funchal,Mykonos,Funchal
Mykonos,Krasnoyarsk,Mykonos,Krasnoyarsk
Mykonos,Syktyvkar,Mykonos,Syktyvkar
Mykonos,Pescara,Mykonos,Pescara
Mykonos,Bragança,Mykonos,Bragança
Mykonos,Wrocław,Mykonos,Wrocław
Izhevsk,Krasnodar,Izhevsk,Krasnodar
Izhevsk,Parma ,Izhevsk,Parma (PR)
Izhevsk,Catania,Izhevsk,Catania
Izhevsk,Bodø,Izhevsk,Bodø
Izhevsk,Bournemouth,Izhevsk,Bournemouth
Izhevsk,Murmansk,Izhevsk,Murmansk
Izhevsk,Frankfurt am Main,Izhevsk,Frankfurt am Main
Izhevsk,Umeå,Izhevsk,Umeå
Izhevsk,Łódź,Izhevsk,Łódź
Izhevsk,Genova ,Izhevsk,Genova (GE)
Izhevsk,Almería,Izhevsk,Almería
Izhevsk,Crete Island,Izhevsk,Crete Island
Izhevsk,Ivalo,Izhevsk,Ivalo
Izhevsk,Ivanovo,Izhevsk,Ivanovo
Izhevsk,Vigo,Izhevsk,Vigo
Izhevsk,Minsk,Izhevsk,Minsk
Izhevsk,Seville,Izhevsk,Sevilla
Izhevsk,Girona,Izhevsk,Girona
Izhevsk,Magnitogorsk,Izhevsk,Magnitogorsk
Izhevsk,Zgornji Brnik,Izhevsk,Zgornji Brnik
Izhevsk,Cherepovets,Izhevsk,Cherepovets
Izhevsk,Pisa,Izhevsk,Pisa
Izhevsk,Valletta,Izhevsk,Valletta
Izhevsk,Voronezh,Izhevsk,Voronezh
Izhevsk,Vila Real,Izhevsk,Vila Real
Izhevsk,Penza,Izhevsk,Penza
Izhevsk,Makhachkala,Izhevsk,Makhachkala
Izhevsk,Spata-Artemida,Izhevsk,Spata-Artemida
Izhevsk,"Luton, Bedfordshire",Izhevsk,"Luton, Bedfordshire"
Izhevsk,Čilipi,Izhevsk,Čilipi
Izhevsk,Olbia ,Izhevsk,Olbia (SS)
Izhevsk,Hanover,Izhevsk,Hannover
Izhevsk,"Norwich, Norfolk",Izhevsk,"Norwich, Norfolk"
Izhevsk,Nottingham,Izhevsk,Nottingham
Izhevsk,Sibiu,Izhevsk,Sibiu
Izhevsk,Saint Anne,Izhevsk,Saint Anne
Izhevsk,Maastricht,Izhevsk,Maastricht
