tra_infr,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 
AIRP_OTH,NL	1 d	2 d	0 d	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	0 	1 	1 	1 	1 	1 	1 	1 
AIRP_OTH,NO	23 d	22 d	25 d	25 	25 	29 	29 	29 	29 	30 	31 	30 	30 	31 	30 	29 	27 	27 	30 	28 	21 
AIRP_OTH,PL	5 d	5 d	2 d	2 	2 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	4 	3 	3 	2 	2 
AIRP_OTH,PT	6 d	7 d	5 d	5 	5 	5 	6 	6 	6 	3 	6 	3 	3 	3 	3 	2 	2 	2 	2 	2 	2 
AIRP_OTH,RO	5 d	5 d	5 d	3 	2 	4 	4 	4 	5 	2 	2 	3 	3 	5 	5 	5 	5 	6 	6 	7 	6 
AIRP_OTH,RS	0 d	1 d	1 d	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_OTH,SE	14 d	18 d	14 d	12 	12 	11 	14 	16 	13 	13 	14 	14 	14 	13 	14 	14 	14 	14 	11 	13 	12 
AIRP_OTH,SI	0 d	0 d	0 d	0 	0 	0 	0 	0 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP_OTH,SK	1 d	2 d	2 d	2 	2 	2 	2 	2 	4 	4 	4 	3 	4 	4 	4 	4 	4 	4 	6 	0 	1 
AIRP_OTH,TR	12 d	16 d	11 d	8 	8 	11 	11 	12 	15 	16 	16 	16 	13 	16 	19 	16 	0 	1 	2 	2 	1 
AIRP_OTH,UK	: 	: 	9 d	9 	10 	11 	11 	12 	9 	13 	13 	13 	14 	13 	13 	13 	13 	14 	13 	10 	12 
AIRP_SML,AL	1 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,AT	11 d	12 d	11 d	11 	12 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,BA	1 d	1 d	0 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
