tra_infr,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
UNK,RT,EU27_2020	1.2 b	1.0 b	1.1 	0.7 	0.6 	0.5 	0.6 	0.4 	0.1 b	0.1 	0.1 b	0.1 b	0.2 b	0.1 	0.1 b	0.1 b	0.0 	0.0 b	0.0 e	0.0 bep	0.0 ep	0.1 bep
UNK,RT,HR	14.7 e	15.0 b	14.6 	16.3 	14.1 	13.8 	14.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,RT,HU	11.8 	12.2 	14.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,RT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 e	2.9 	2.7 
UNK,RT,IS	11.4 	8.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,RT,LI	9.2 	6.0 	0.0 	14.7 	2.9 	5.8 	0.0 	0.0 	2.8 	2.8 	0.0 	5.5 	2.7 	5.4 	8.1 	5.3 	0.0 	5.3 	0.0 	0.0 	: 	: 
UNK,RT,LT	18.3 	20.3 	20.2 	20.8 	22.3 	23.3 	23.2 	22.9 	15.6 	11.7 	9.7 	9.8 	10.1 	8.7 	9.1 	8.3 	: 	: 	: 	: 	: 	: 
UNK,RT,LU	: 	: 	: 	: 	: 	0.0 	0.6 	0.6 	0.0 	0.4 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,RT,LV	26.8 	23.9 	24.2 	23.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.8 
UNK,RT,MT	3.8 	4.1 	4.0 	4.0 	3.2 	: 	: 	: 	: 	: 	: 	3.8 	2.1 	4.0 	2.3 	0.0 	: 	: 	: 	3.2 	: 	1.7 
UNK,RT,NL	: 	: 	: 	: 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.1 	0.3 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 
UNK,RT,NO	7.6 	6.1 	6.8 	6.1 	5.6 	4.8 	5.2 	4.9 	5.3 	0.0 	0.2 	0.0 	2.9 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
UNK,RT,PL	: 	: 	: 	: 	: 	: 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,RT,SE	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.0 	0.0 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	2.0 
UNK,RT,SK	11.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	6.5 	4.6 	5.4 	5.7 	: 	0.0 	: 	0.0 	0.0 	: 
