,route,time
208,"{'BRI', 'BUD'}",91.66666666666667
209,"{'BRI', 'CRL'}",145.0
210,"{'BRI', 'FCO'}",70.0
211,"{'BRI', 'LIN'}",85.0
212,"{'BRI', 'MLA'}",80.0
213,"{'BRI', 'MXP'}",97.5
214,"{'BRI', 'OTP'}",105.0
215,"{'BRI', 'TIA'}",60.0
216,"{'BRI', 'TRN'}",97.5
217,"{'BRI', 'VCE'}",80.0
218,"{'BRI', 'VRN'}",82.5
219,"{'BRI', 'WMI'}",130.0
220,"{'BRS', 'AGP'}",165.0
221,"{'ALC', 'BRS'}",160.0
222,"{'BRS', 'BCN'}",125.0
223,"{'BGY', 'BRS'}",125.0
224,"{'BRS', 'FUE'}",240.0
225,"{'GNB', 'BRS'}",112.5
226,"{'BRS', 'OPO'}",125.0
227,"{'BRS', 'POZ'}",135.0
228,"{'AGP', 'BRU'}",190.0
229,"{'BCN', 'BRU'}",130.0
230,"{'BSL', 'ACE'}",245.0
231,"{'BSL', 'AMS'}",85.0
232,"{'BSL', 'CDG'}",75.0
233,"{'BSL', 'CTA'}",135.0
234,"{'BSL', 'FUE'}",250.0
235,"{'BSL', 'MUC'}",60.0
236,"{'BSL', 'OTP'}",152.5
237,"{'BSL', 'PRN'}",130.0
238,"{'BSL', 'SUF'}",130.0
239,"{'BTS', 'KUN'}",105.0
240,"{'BTS', 'LTN'}",150.0
241,"{'BUD', 'AGP'}",213.75
242,"{'BUD', 'ARN'}",145.0
243,"{'BUD', 'ATH'}",120.0
244,"{'BUD', 'BCN'}",157.5
245,"{'BUD', 'BGY'}",94.5
246,"{'BUD', 'BHX'}",165.0
247,"{'BUD', 'BLQ'}",90.0
248,"{'BUD', 'BRS'}",160.0
249,"{'BUD', 'CIA'}",100.0
250,"{'BUD', 'CRL'}",122.5
251,"{'BUD', 'CTA'}",130.0
252,"{'BUD', 'HEL'}",142.5
253,"{'BUD', 'LHR'}",170.0
254,"{'BUD', 'LTN'}",157.5
255,"{'BUD', 'MAD'}",205.0
256,"{'BUD', 'MLA'}",140.0
257,"{'BUD', 'MRS'}",130.0
258,"{'BUD', 'MXP'}",105.0
259,"{'BUD', 'PRG'}",72.5
260,"{'BUD', 'WAW'}",77.5
261,"{'BVA', 'BCN'}",105.0
262,"{'BGY', 'BVA'}",100.0
263,"{'BVA', 'OPO'}",132.5
264,"{'BZG', 'LTN'}",135.0
265,"{'BZO', 'BLL'}",135.0
266,"{'BZR', 'CRL'}",100.0
267,"{'CDG', 'AGP'}",165.0
268,"{'ARN', 'CDG'}",165.0
269,"{'CDG', 'BCN'}",105.0
270,"{'CDG', 'BHX'}",85.0
271,"{'CDG', 'BLQ'}",105.0
272,"{'CDG', 'BOD'}",85.0
273,"{'CDG', 'BRU'}",70.0
274,"{'CDG', 'GOT'}",140.0
275,"{'HEL', 'CDG'}",200.0
276,"{'MUC', 'CDG'}",100.0
277,"{'CDG', 'OTP'}",190.0
278,"{'TOS', 'CDG'}",240.0
279,"{'CDT', 'NRN'}",152.5
280,"{'LED', 'CEE'}",55.0
281,"{'CEK', 'LED'}",180.0
282,"{'SVO', 'CEK'}",155.0
283,"{'CEK', 'VKO'}",152.5
284,"{'CFU', 'ATH'}",60.0
285,"{'CGN', 'AGP'}",180.0
286,"{'CGN', 'FUE'}",268.3333333333333
287,"{'CGN', 'MUC'}",65.0
288,"{'VAR', 'CGN'}",180.0
289,"{'CHQ', 'ATH'}",52.5
290,"{'CRL', 'CIA'}",120.0
291,"{'OTP', 'CIA'}",125.0
292,"{'CLJ', 'BGY'}",121.66666666666667
293,"{'CLJ', 'CIA'}",130.0
294,"{'LTN', 'CLJ'}",175.0
295,"{'CLJ', 'OTP'}",55.0
296,"{'CLY', 'NCE'}",40.0
297,"{'CMF', 'BHX'}",115.0
298,"{'CPH', 'AAL'}",48.333333333333336
299,"{'CPH', 'AAR'}",40.0
300,"{'CPH', 'AGP'}",220.0
301,"{'CPH', 'ALC'}",200.0
302,"{'CPH', 'AMS'}",87.5
303,"{'CPH', 'ARN'}",72.5
304,"{'CPH', 'BUD'}",115.0
305,"{'CPH', 'BZO'}",130.0
306,"{'CPH', 'CDG'}",120.0
307,"{'CPH', 'CGN'}",85.0
308,"{'CPH', 'FAE'}",135.0
309,"{'CPH', 'FAO'}",235.0
310,"{'CPH', 'FRA'}",90.0
311,"{'CPH', 'GDN'}",65.0
312,"{'CPH', 'GOT'}",52.5
313,"{'CPH', 'GVA'}",123.75
314,"{'CPH', 'HAM'}",60.0
315,"{'CPH', 'HEL'}",100.0
316,"{'CPH', 'KRK'}",105.0
317,"{'CPH', 'KUN'}",90.0
318,"{'CPH', 'LHR'}",125.0
319,"{'CPH', 'MAD'}",195.0
320,"{'CPH', 'MAN'}",120.0
321,"{'CPH', 'MUC'}",100.0
322,"{'CPH', 'OPO'}",205.0
323,"{'CPH', 'OSL'}",75.0
324,"{'CPH', 'RIX'}",85.0
325,"{'CPH', 'STN'}",115.0
326,"{'CPH', 'SZG'}",96.66666666666667
327,"{'CPH', 'VIE'}",102.5
328,"{'CPH', 'ZRH'}",105.0
329,"{'BLQ', 'CRA'}",110.0
330,"{'CRL', 'CRA'}",150.0
331,"{'BCN', 'CRL'}",135.0
332,"{'CIA', 'CRL'}",130.0
333,"{'OTP', 'CRL'}",175.0
334,"{'CRV', 'BGY'}",105.0
335,"{'CRV', 'BLQ'}",100.0
336,"{'CSY', 'SVO'}",95.0
337,"{'CSY', 'VKO'}",85.0
338,"{'CTA', 'BGY'}",112.5
339,"{'CTA', 'BLQ'}",105.0
340,"{'CTA', 'CRL'}",160.0
341,"{'CTA', 'FLR'}",95.0
342,"{'CTA', 'OTP'}",130.0
343,"{'CTA', 'PRG'}",140.0
344,"{'CTA', 'VRN'}",107.5
345,"{'DBV', 'ZAG'}",55.0
346,"{'DEB', 'LTN'}",167.5
347,"{'DME', 'AER'}",217.5
348,"{'DME', 'ARH'}",110.0
349,"{'DME', 'GRV'}",185.0
350,"{'DME', 'HTA'}",402.5
351,"{'DME', 'IJK'}",100.0
352,"{'DME', 'KZN'}",105.0
353,"{'DME', 'LED'}",96.25
354,"{'DME', 'MMK'}",165.0
355,"{'DME', 'MSQ'}",85.0
356,"{'DME', 'NOZ'}",277.5
357,"{'DME', 'PEE'}",145.0
358,"{'DME', 'PEZ'}",80.0
359,"{'DME', 'VOG'}",110.0
360,"{'DTM', 'BEG'}",125.0
361,"{'DTM', 'BUD'}",105.0
362,"{'DTM', 'CLJ'}",130.0
363,"{'DTM', 'FCO'}",125.0
364,"{'DTM', 'GDN'}",95.0
365,"{'DTM', 'KTW'}",95.0
366,"{'DTM', 'SZY'}",107.5
367,"{'DTM', 'TZL'}",130.0
368,"{'DTM', 'VNO'}",125.0
369,"{'DUS', 'ACE'}",265.0
370,"{'DUS', 'AMS'}",55.0
371,"{'DUS', 'CDG'}",75.0
372,"{'DUS', 'CPH'}",75.0
