,route,time,departure airport,arrival airport,departure city,arrival city
71,"{'AMS', 'BOJ'}",200.0,AMS,BOJ,Amsterdam,Burgas
72,"{'AMS', 'BRS'}",85.0,AMS,BRS,Amsterdam,Bristol
73,"{'AMS', 'CDG'}",80.0,AMS,CDG,Amsterdam,Paris
74,"{'AMS', 'CWL'}",80.0,AMS,CWL,Amsterdam,Cardiff
75,"{'AMS', 'FLR'}",130.0,AMS,FLR,Amsterdam,Firenze
76,"{'AMS', 'FUE'}",275.0,AMS,FUE,Amsterdam,El Matorral
77,"{'AMS', 'GDN'}",110.0,AMS,GDN,Amsterdam,Gdańsk
78,"{'AMS', 'GVA'}",97.5,AMS,GVA,Amsterdam,Geneva
79,"{'AMS', 'HAM'}",70.0,AMS,HAM,Amsterdam,Hamburg
80,"{'AMS', 'HEL'}",160.0,AMS,HEL,Amsterdam,Helsinki
81,"{'AMS', 'LGW'}",80.0,AMS,LGW,Amsterdam,"Gatwick, Surrey"
82,"{'LTN', 'AMS'}",70.0,LTN,AMS,"Luton, Bedfordshire",Amsterdam
83,"{'AMS', 'MUC'}",100.0,AMS,MUC,Amsterdam,Munich
84,"{'AMS', 'NWI'}",55.0,AMS,NWI,Amsterdam,"Norwich, Norfolk"
85,"{'AMS', 'OPO'}",162.5,AMS,OPO,Amsterdam,Porto
86,"{'AMS', 'OTP'}",185.0,AMS,OTP,Amsterdam,Otopeni
87,"{'AMS', 'PRG'}",80.0,AMS,PRG,Amsterdam,Prague
88,"{'AMS', 'RVN'}",185.0,AMS,RVN,Amsterdam,Rovaniemi
89,"{'AMS', 'SOU'}",75.0,AMS,SOU,Amsterdam,Southampton
90,"{'AMS', 'VLC'}",160.0,AMS,VLC,Amsterdam,Valencia
91,"{'AMS', 'ZRH'}",102.5,AMS,ZRH,Amsterdam,Zurich
92,"{'ANX', 'EVE'}",25.0,ANX,EVE,Andenes,Evenes
93,"{'ANX', 'TOS'}",30.0,ANX,TOS,Andenes,Tromsø
94,"{'ARH', 'LED'}",90.0,ARH,LED,Archangelsk,St. Petersburg
95,"{'SVO', 'ARH'}",125.0,SVO,ARH,Moscow,Archangelsk
96,"{'ARN', 'AGP'}",265.0,ARN,AGP,Stockholm,Málaga
97,"{'ALC', 'ARN'}",245.0,ALC,ARN,Alicante,Stockholm
98,"{'BGY', 'ARN'}",165.0,BGY,ARN,Orio al Serio (BG),Stockholm
99,"{'ARN', 'GDN'}",82.5,ARN,GDN,Stockholm,Gdańsk
100,"{'ARN', 'GOT'}",65.0,ARN,GOT,Stockholm,Gothenburg
101,"{'HEL', 'ARN'}",77.5,HEL,ARN,Helsinki,Stockholm
102,"{'MUC', 'ARN'}",135.0,MUC,ARN,Munich,Stockholm
103,"{'ARN', 'POZ'}",100.0,ARN,POZ,Stockholm,Poznań
104,"{'ARN', 'WMI'}",102.5,ARN,WMI,Stockholm,Warsaw
105,"{'ASF', 'SVO'}",162.5,ASF,SVO,Astrakhan,Moscow
106,"{'ATH', 'AXD'}",61.66666666666666,ATH,AXD,Spata-Artemida,Alexandroupolis
107,"{'ATH', 'BCN'}",175.0,ATH,BCN,Spata-Artemida,Barcelona
108,"{'ATH', 'BLQ'}",135.0,ATH,BLQ,Spata-Artemida,Bologna
109,"{'ATH', 'BRU'}",180.0,ATH,BRU,Spata-Artemida,Zaventem
110,"{'ATH', 'CDG'}",210.0,ATH,CDG,Spata-Artemida,Paris
111,"{'ATH', 'GVA'}",165.0,ATH,GVA,Spata-Artemida,Geneva
112,"{'ATH', 'JKH'}",51.66666666666666,ATH,JKH,Spata-Artemida,Chios Island
113,"{'JMK', 'ATH'}",45.0,JMK,ATH,Mykonos,Spata-Artemida
114,"{'KVA', 'ATH'}",75.0,KVA,ATH,Kavala,Spata-Artemida
115,"{'ATH', 'LGW'}",230.0,ATH,LGW,Spata-Artemida,"Gatwick, Surrey"
116,"{'ATH', 'MAD'}",245.0,ATH,MAD,Spata-Artemida,Madrid
117,"{'ATH', 'OTP'}",95.0,ATH,OTP,Spata-Artemida,Otopeni
118,"{'ATH', 'RHO'}",60.0,ATH,RHO,Spata-Artemida,Rhodes
119,"{'ATH', 'SKG'}",53.333333333333336,ATH,SKG,Spata-Artemida,Thessaloniki
120,"{'SMI', 'ATH'}",65.0,SMI,ATH,Samos Island,Spata-Artemida
121,"{'ATH', 'ZRH'}",165.0,ATH,ZRH,Spata-Artemida,Zurich
122,"{'AXD', 'JSH'}",100.0,AXD,JSH,Alexandroupolis,Crete Island
