,route,time,departure airport,arrival airport,departure city,arrival city
658,"{'KRR', 'SVO'}",140.0,KRR,SVO,Krasnodar,Moscow
659,"{'KRR', 'VKO'}",132.5,KRR,VKO,Krasnodar,Moscow
660,"{'KRS', 'AMS'}",90.0,KRS,AMS,Kjevik,Amsterdam
661,"{'KRS', 'BGO'}",50.0,KRS,BGO,Kjevik,Bergen
662,"{'KSC', 'PRG'}",75.0,KSC,PRG,Košice,Prague
663,"{'KTT', 'HEL'}",86.66666666666667,KTT,HEL,Kittilä,Helsinki
664,"{'KTT', 'ZRH'}",220.0,KTT,ZRH,Kittilä,Zurich
665,"{'KTW', 'ALC'}",195.0,KTW,ALC,Ożarowice,Alicante
666,"{'KTW', 'ATH'}",155.0,KTW,ATH,Ożarowice,Spata-Artemida
667,"{'KTW', 'CTA'}",153.33333333333334,KTW,CTA,Ożarowice,Catania
668,"{'KTW', 'LTN'}",147.5,KTW,LTN,Ożarowice,"Luton, Bedfordshire"
669,"{'KTW', 'MLA'}",167.5,KTW,MLA,Ożarowice,Valletta
670,"{'KUF', 'LED'}",143.75,KUF,LED,Samara,St. Petersburg
671,"{'KUN', 'BGY'}",145.0,KUN,BGY,Kaunas,Orio al Serio (BG)
672,"{'KUO', 'HEL'}",60.0,KUO,HEL,Kuopio / Siilinjärvi,Helsinki
673,"{'ATH', 'KVA'}",70.0,ATH,KVA,Spata-Artemida,Kavala
674,"{'KVX', 'LED'}",120.0,KVX,LED,Kirov,St. Petersburg
675,"{'KVX', 'SVO'}",107.5,KVX,SVO,Kirov,Moscow
676,"{'KVX', 'VKO'}",102.5,KVX,VKO,Kirov,Moscow
677,"{'KZN', 'KUF'}",50.0,KZN,KUF,Kazan,Samara
678,"{'KZN', 'LED'}",135.0,KZN,LED,Kazan,St. Petersburg
679,"{'KZN', 'SVO'}",105.0,KZN,SVO,Kazan,Moscow
680,"{'KZN', 'VKO'}",105.0,KZN,VKO,Kazan,Moscow
681,"{'LBA', 'ACE'}",270.0,LBA,ACE,Leeds,San Bartolomé
682,"{'LBA', 'ALC'}",167.5,LBA,ALC,Leeds,Alicante
683,"{'LBA', 'AMS'}",80.0,LBA,AMS,Leeds,Amsterdam
684,"{'LBA', 'CMF'}",120.0,LBA,CMF,Leeds,Viviers-du-Lac
685,"{'LBA', 'FAO'}",182.5,LBA,FAO,Leeds,Faro
686,"{'LBA', 'KRK'}",152.5,LBA,KRK,Leeds,Balice
687,"{'LBA', 'POZ'}",130.0,LBA,POZ,Leeds,Poznań
688,"{'LCG', 'MAD'}",76.66666666666667,LCG,MAD,Culleredo,Madrid
689,"{'CEE', 'LED'}",55.0,CEE,LED,Cherepovets,St. Petersburg
690,"{'MMK', 'LED'}",110.0,MMK,LED,Murmansk,St. Petersburg
691,"{'LEI', 'MAD'}",75.0,LEI,MAD,Almería,Madrid
692,"{'FUE', 'LEJ'}",295.0,FUE,LEJ,El Matorral,Schkeuditz
693,"{'LGG', 'AGP'}",190.0,LGG,AGP,Grâce-Hollogne,Málaga
694,"{'AGP', 'LGW'}",170.0,AGP,LGW,Málaga,"Gatwick, Surrey"
695,"{'BCN', 'LGW'}",135.0,BCN,LGW,Barcelona,"Gatwick, Surrey"
696,"{'JER', 'LGW'}",55.0,JER,LGW,Saint Helier,"Gatwick, Surrey"
697,"{'OTP', 'LGW'}",225.0,OTP,LGW,Otopeni,"Gatwick, Surrey"
698,"{'LHR', 'ABZ'}",95.0,LHR,ABZ,London,Aberdeen
699,"{'LHR', 'AGP'}",185.0,LHR,AGP,London,Málaga
700,"{'LHR', 'AMS'}",85.0,LHR,AMS,London,Amsterdam
701,"{'LHR', 'ARN'}",160.0,LHR,ARN,London,Stockholm
702,"{'LHR', 'ATH'}",245.0,LHR,ATH,London,Spata-Artemida
703,"{'LHR', 'BCN'}",145.0,LHR,BCN,London,Barcelona
704,"{'LHR', 'BLL'}",110.0,LHR,BLL,London,Billund
705,"{'LHR', 'BLQ'}",145.0,LHR,BLQ,London,Bologna
706,"{'LHR', 'BRU'}",71.66666666666667,LHR,BRU,London,Zaventem
707,"{'BSL', 'LHR'}",100.0,BSL,LHR,Saint-Louis,London
708,"{'LHR', 'EDI'}",85.0,LHR,EDI,London,Edinburgh
709,"{'LHR', 'GIB'}",185.0,LHR,GIB,London,Gibraltar
710,"{'LHR', 'GLA'}",87.5,LHR,GLA,London,"Paisley, Renfrewshire"
711,"{'LHR', 'GNB'}",110.0,LHR,GNB,London,Saint-Étienne-de-Saint-Geoirs
712,"{'LHR', 'GOT'}",127.5,LHR,GOT,London,Gothenburg
713,"{'LHR', 'GVA'}",102.5,LHR,GVA,London,Geneva
714,"{'LHR', 'LIN'}",120.0,LHR,LIN,London,Segrate (MI)
715,"{'LIS', 'LHR'}",170.0,LIS,LHR,Lisbon,London
716,"{'LHR', 'LYS'}",112.5,LHR,LYS,London,Lyon
717,"{'LHR', 'MAD'}",147.5,LHR,MAD,London,Madrid
718,"{'LHR', 'MLA'}",210.0,LHR,MLA,London,Valletta
719,"{'LHR', 'MXP'}",130.0,LHR,MXP,London,Ferno (VA)
720,"{'LHR', 'NCE'}",130.0,LHR,NCE,London,Nice
721,"{'LHR', 'NCL'}",77.5,LHR,NCL,London,Newcastle
722,"{'LHR', 'OSL'}",147.5,LHR,OSL,London,Oslo
723,"{'LHR', 'OTP'}",200.0,LHR,OTP,London,Otopeni
724,"{'LHR', 'SZG'}",130.0,LHR,SZG,London,Salzburg
725,"{'LHR', 'TLS'}",115.0,LHR,TLS,London,Toulouse/Blagnac
726,"{'LHR', 'VIE'}",140.0,LHR,VIE,London,Vienna
727,"{'LHR', 'ZRH'}",107.5,LHR,ZRH,London,Zurich
728,"{'LIL', 'GVA'}",80.0,LIL,GVA,Lesquin,Geneva
729,"{'LIN', 'AMS'}",115.0,LIN,AMS,Segrate (MI),Amsterdam
730,"{'LIN', 'BDS'}",95.0,LIN,BDS,Segrate (MI),Brindisi
731,"{'LIN', 'BRU'}",85.0,LIN,BRU,Segrate (MI),Zaventem
732,"{'LIN', 'CAG'}",82.5,LIN,CAG,Segrate (MI),Cagliari
733,"{'LIN', 'CDG'}",95.0,LIN,CDG,Segrate (MI),Paris
734,"{'LIN', 'CTA'}",115.0,LIN,CTA,Segrate (MI),Catania
735,"{'LIN', 'HEL'}",185.0,LIN,HEL,Segrate (MI),Helsinki
736,"{'LIN', 'MAD'}",145.0,LIN,MAD,Segrate (MI),Madrid
737,"{'LIN', 'MLA'}",110.0,LIN,MLA,Segrate (MI),Valletta
738,"{'LIN', 'MUC'}",70.0,LIN,MUC,Segrate (MI),Munich
739,"{'LIN', 'REG'}",100.0,LIN,REG,Segrate (MI),Reggio Calabria
740,"{'LIN', 'SUF'}",97.5,LIN,SUF,Segrate (MI),Lamezia Terme (CZ)
741,"{'LIS', 'ALC'}",105.0,LIS,ALC,Lisbon,Alicante
742,"{'LIS', 'AMS'}",190.0,LIS,AMS,Lisbon,Amsterdam
743,"{'LIS', 'BCN'}",117.5,LIS,BCN,Lisbon,Barcelona
744,"{'LIS', 'BGY'}",175.0,LIS,BGY,Lisbon,Orio al Serio (BG)
745,"{'LIS', 'BOD'}",115.0,LIS,BOD,Lisbon,Bordeaux/Mérignac
746,"{'LIS', 'BRU'}",170.0,LIS,BRU,Lisbon,Zaventem
747,"{'LIS', 'CDG'}",155.0,LIS,CDG,Lisbon,Paris
748,"{'LIS', 'CGN'}",185.0,LIS,CGN,Lisbon,Köln (Cologne)
749,"{'LIS', 'CIA'}",190.0,LIS,CIA,Lisbon,Rome
750,"{'LIS', 'GVA'}",155.0,LIS,GVA,Lisbon,Geneva
751,"{'LIS', 'HEL'}",275.0,LIS,HEL,Lisbon,Helsinki
752,"{'LIS', 'LGW'}",155.0,LIS,LGW,Lisbon,"Gatwick, Surrey"
753,"{'LHR', 'LIS'}",165.0,LHR,LIS,London,Lisbon
754,"{'LIS', 'LUX'}",160.0,LIS,LUX,Lisbon,Luxembourg
755,"{'LIS', 'LYS'}",145.0,LIS,LYS,Lisbon,Lyon
756,"{'LIS', 'MAD'}",80.0,LIS,MAD,Lisbon,Madrid
757,"{'LIS', 'MLA'}",210.0,LIS,MLA,Lisbon,Valletta
758,"{'LIS', 'MUC'}",190.0,LIS,MUC,Lisbon,Munich
759,"{'LIS', 'MXP'}",175.0,LIS,MXP,Lisbon,Ferno (VA)
760,"{'LIS', 'OPO'}",60.0,LIS,OPO,Lisbon,Porto
761,"{'LIS', 'ORY'}",151.25,LIS,ORY,Lisbon,Paris
762,"{'LIS', 'OSL'}",250.0,LIS,OSL,Lisbon,Oslo
763,"{'LIS', 'PDL'}",137.5,LIS,PDL,Lisbon,Ponta Delgada
764,"{'LIS', 'TER'}",150.0,LIS,TER,Lisbon,Praia da Vitória
765,"{'LIS', 'VIE'}",215.0,LIS,VIE,Lisbon,Vienna
766,"{'LIS', 'VLC'}",92.5,LIS,VLC,Lisbon,Valencia
767,"{'LIS', 'WMI'}",250.0,LIS,WMI,Lisbon,Warsaw
768,"{'LIS', 'ZRH'}",170.0,LIS,ZRH,Lisbon,Zurich
769,"{'LLA', 'ARN'}",80.0,LLA,ARN,Luleå,Stockholm
770,"{'ALC', 'LPL'}",170.0,ALC,LPL,Alicante,Liverpool
771,"{'LPL', 'BCN'}",155.0,LPL,BCN,Liverpool,Barcelona
772,"{'LPL', 'GDN'}",145.0,LPL,GDN,Liverpool,Gdańsk
773,"{'LPL', 'OTP'}",220.0,LPL,OTP,Liverpool,Otopeni
774,"{'RVN', 'LPL'}",245.0,RVN,LPL,Rovaniemi,Liverpool
775,"{'LTN', 'AGP'}",172.5,LTN,AGP,"Luton, Bedfordshire",Málaga
776,"{'LTN', 'BCN'}",125.0,LTN,BCN,"Luton, Bedfordshire",Barcelona
777,"{'LTN', 'BFS'}",75.0,LTN,BFS,"Luton, Bedfordshire",Belfast
778,"{'CLJ', 'LTN'}",185.0,CLJ,LTN,Cluj-Napoca,"Luton, Bedfordshire"
779,"{'LTN', 'EDI'}",75.0,LTN,EDI,"Luton, Bedfordshire",Edinburgh
780,"{'LTN', 'GDN'}",140.0,LTN,GDN,"Luton, Bedfordshire",Gdańsk
781,"{'LTN', 'GNB'}",107.5,LTN,GNB,"Luton, Bedfordshire",Saint-Étienne-de-Saint-Geoirs
782,"{'LTN', 'GVA'}",105.0,LTN,GVA,"Luton, Bedfordshire",Geneva
783,"{'LTN', 'IAS'}",205.0,LTN,IAS,"Luton, Bedfordshire",Iaşi
784,"{'LTN', 'OTP'}",207.5,LTN,OTP,"Luton, Bedfordshire",Otopeni
785,"{'LTN', 'PRN'}",202.5,LTN,PRN,"Luton, Bedfordshire",Prishtina
786,"{'LTN', 'SCV'}",195.0,LTN,SCV,"Luton, Bedfordshire",Suceava
787,"{'LTN', 'TOS'}",225.0,LTN,TOS,"Luton, Bedfordshire",Tromsø
788,"{'LTN', 'VNO'}",167.5,LTN,VNO,"Luton, Bedfordshire",Vilnius
789,"{'LTN', 'WRO'}",127.5,LTN,WRO,"Luton, Bedfordshire",Wrocław
790,"{'LUX', 'AGP'}",162.5,LUX,AGP,Luxembourg,Málaga
791,"{'LUX', 'BGY'}",75.0,LUX,BGY,Luxembourg,Orio al Serio (BG)
792,"{'LUX', 'FUE'}",245.0,LUX,FUE,Luxembourg,El Matorral
793,"{'LUX', 'OPO'}",152.5,LUX,OPO,Luxembourg,Porto
794,"{'LUZ', 'LTN'}",160.0,LUZ,LTN,Lublin,"Luton, Bedfordshire"
795,"{'LYS', 'ACE'}",215.0,LYS,ACE,Lyon,San Bartolomé
796,"{'LYS', 'ARN'}",185.0,LYS,ARN,Lyon,Stockholm
797,"{'LYS', 'CDG'}",72.5,LYS,CDG,Lyon,Paris
798,"{'LYS', 'EDI'}",140.0,LYS,EDI,Lyon,Edinburgh
799,"{'LYS', 'MAD'}",115.0,LYS,MAD,Lyon,Madrid
800,"{'LYS', 'MUC'}",80.0,LYS,MUC,Lyon,Munich
801,"{'AGP', 'MAD'}",75.0,AGP,MAD,Málaga,Madrid
802,"{'BCN', 'MAD'}",85.0,BCN,MAD,Barcelona,Madrid
803,"{'BLQ', 'MAD'}",155.0,BLQ,MAD,Bologna,Madrid
804,"{'BOD', 'MAD'}",85.0,BOD,MAD,Bordeaux/Mérignac,Madrid
805,"{'BRU', 'MAD'}",147.5,BRU,MAD,Zaventem,Madrid
806,"{'FUE', 'MAD'}",160.0,FUE,MAD,El Matorral,Madrid
807,"{'HAM', 'MAD'}",175.0,HAM,MAD,Hamburg,Madrid
808,"{'LGW', 'MAD'}",145.0,LGW,MAD,"Gatwick, Surrey",Madrid
809,"{'OPO', 'MAD'}",75.0,OPO,MAD,Porto,Madrid
810,"{'MAH', 'BCN'}",52.5,MAH,BCN,Mahón (Maó),Barcelona
811,"{'MAN', 'ACE'}",262.5,MAN,ACE,Manchester,San Bartolomé
812,"{'MAN', 'AGP'}",177.5,MAN,AGP,Manchester,Málaga
813,"{'MAN', 'ALC'}",167.5,MAN,ALC,Manchester,Alicante
814,"{'MAN', 'AMS'}",77.5,MAN,AMS,Manchester,Amsterdam
815,"{'MAN', 'BCN'}",135.0,MAN,BCN,Manchester,Barcelona
816,"{'MAN', 'BFS'}",61.25,MAN,BFS,Manchester,Belfast
817,"{'MAN', 'BHD'}",70.0,MAN,BHD,Manchester,Belfast
818,"{'MAN', 'BUD'}",162.5,MAN,BUD,Manchester,Budapest
819,"{'MAN', 'CDG'}",87.5,MAN,CDG,Manchester,Paris
820,"{'MAN', 'CGN'}",97.5,MAN,CGN,Manchester,Köln (Cologne)
821,"{'MAN', 'CIA'}",167.5,MAN,CIA,Manchester,Rome
822,"{'MAN', 'CMF'}",125.0,MAN,CMF,Manchester,Viviers-du-Lac
823,"{'MAN', 'CPH'}",115.0,MAN,CPH,Manchester,Copenhagen
824,"{'MAN', 'FNC'}",242.5,MAN,FNC,Manchester,Funchal
825,"{'MAN', 'FRA'}",100.0,MAN,FRA,Manchester,Frankfurt am Main
826,"{'MAN', 'FUE'}",267.5,MAN,FUE,Manchester,El Matorral
827,"{'MAN', 'GNB'}",115.0,MAN,GNB,Manchester,Saint-Étienne-de-Saint-Geoirs
828,"{'MAN', 'GVA'}",116.66666666666669,MAN,GVA,Manchester,Geneva
829,"{'MAN', 'HEL'}",172.5,MAN,HEL,Manchester,Helsinki
830,"{'MAN', 'IOM'}",50.0,MAN,IOM,Manchester,Castletown
831,"{'MAN', 'KRK'}",150.0,MAN,KRK,Manchester,Balice
832,"{'MAN', 'LHR'}",62.5,MAN,LHR,Manchester,London
833,"{'MAN', 'LIS'}",167.5,MAN,LIS,Manchester,Lisbon
834,"{'MAN', 'MAD'}",155.0,MAN,MAD,Manchester,Madrid
835,"{'MAN', 'MLA'}",211.66666666666663,MAN,MLA,Manchester,Valletta
836,"{'MAN', 'MUC'}",125.0,MAN,MUC,Manchester,Munich
837,"{'MAN', 'POZ'}",130.0,MAN,POZ,Manchester,Poznań
838,"{'MAN', 'PRG'}",135.0,MAN,PRG,Manchester,Prague
839,"{'MAN', 'RMU'}",170.0,MAN,RMU,Manchester,Corvera
840,"{'MAN', 'RZE'}",170.0,MAN,RZE,Manchester,Jasionka
841,"{'MAN', 'SDR'}",125.0,MAN,SDR,Manchester,Santander
842,"{'MAN', 'SVQ'}",170.0,MAN,SVQ,Manchester,Sevilla
843,"{'MAN', 'SZG'}",135.0,MAN,SZG,Manchester,Salzburg
844,"{'MAN', 'VCE'}",145.0,MAN,VCE,Manchester,Venezia (VE)
845,"{'MAN', 'VRN'}",145.0,MAN,VRN,Manchester,Caselle (VR)
846,"{'MAN', 'WRO'}",137.5,MAN,WRO,Manchester,Wrocław
847,"{'MCX', 'DME'}",185.0,MCX,DME,Makhachkala,Moscow
848,"{'MCX', 'LED'}",200.0,MCX,LED,Makhachkala,St. Petersburg
849,"{'MCX', 'SVO'}",195.0,MCX,SVO,Makhachkala,Moscow
850,"{'MCX', 'VKO'}",167.5,MCX,VKO,Makhachkala,Moscow
851,"{'MJT', 'ATH'}",60.0,MJT,ATH,Mytilene,Spata-Artemida
852,"{'MLA', 'BCN'}",135.0,MLA,BCN,Valletta,Barcelona
853,"{'MLA', 'BGY'}",120.0,MLA,BGY,Valletta,Orio al Serio (BG)
854,"{'MLA', 'BRU'}",180.0,MLA,BRU,Valletta,Zaventem
855,"{'MLA', 'CGN'}",170.0,MLA,CGN,Valletta,Köln (Cologne)
856,"{'MLA', 'CRL'}",172.5,MLA,CRL,Valletta,Charleroi
857,"{'MLA', 'CTA'}",48.333333333333336,MLA,CTA,Valletta,Catania
858,"{'MLA', 'EDI'}",230.0,MLA,EDI,Valletta,Edinburgh
859,"{'INI', 'MLA'}",110.0,INI,MLA,Niš,Valletta
860,"{'MLA', 'LGW'}",195.0,MLA,LGW,Valletta,"Gatwick, Surrey"
861,"{'MLA', 'MAD'}",175.0,MLA,MAD,Valletta,Madrid
862,"{'MLA', 'MUC'}",145.0,MLA,MUC,Valletta,Munich
863,"{'MLA', 'OTP'}",140.0,MLA,OTP,Valletta,Otopeni
864,"{'MLA', 'PSA'}",100.0,MLA,PSA,Valletta,Pisa
865,"{'MLA', 'ZRH'}",140.0,MLA,ZRH,Valletta,Zurich
866,"{'MLN', 'AGP'}",57.5,MLN,AGP,Melilla,Málaga
867,"{'MLN', 'GRX'}",60.0,MLN,GRX,Melilla,Granada
868,"{'MLN', 'LEI'}",55.0,MLN,LEI,Melilla,Almería
869,"{'MMX', 'ARN'}",70.0,MMX,ARN,Malmö,Stockholm
870,"{'MMX', 'BMA'}",80.0,MMX,BMA,Malmö,Stockholm
871,"{'MPL', 'AMS'}",125.0,MPL,AMS,Montpellier/Méditerranée,Amsterdam
872,"{'MPL', 'CDG'}",87.5,MPL,CDG,Montpellier/Méditerranée,Paris
873,"{'MRS', 'AGP'}",120.0,MRS,AGP,Marseille,Málaga
874,"{'MRS', 'AJA'}",50.0,MRS,AJA,Marseille,Ajaccio/Napoléon Bonaparte
875,"{'MRS', 'ALC'}",95.0,MRS,ALC,Marseille,Alicante
876,"{'MRS', 'BIA'}",55.0,MRS,BIA,Marseille,Bastia/Poretta
877,"{'MRS', 'BUD'}",120.0,MRS,BUD,Marseille,Budapest
878,"{'MRS', 'CDG'}",95.0,MRS,CDG,Marseille,Paris
879,"{'MRS', 'CRL'}",105.0,MRS,CRL,Marseille,Charleroi
880,"{'MRS', 'LIS'}",140.0,MRS,LIS,Marseille,Lisbon
881,"{'MRS', 'LYS'}",65.0,MRS,LYS,Marseille,Lyon
882,"{'MRS', 'MAD'}",107.5,MRS,MAD,Marseille,Madrid
883,"{'MRS', 'NTE'}",90.0,MRS,NTE,Marseille,Nantes
884,"{'MRS', 'ORY'}",82.5,MRS,ORY,Marseille,Paris
885,"{'MRS', 'OTP'}",165.0,MRS,OTP,Marseille,Otopeni
886,"{'MRV', 'AER'}",62.5,MRV,AER,Mineralnyye Vody,Sochi
887,"{'MRV', 'CEE'}",210.0,MRV,CEE,Mineralnyye Vody,Cherepovets
888,"{'MRV', 'CEK'}",192.5,MRV,CEK,Mineralnyye Vody,Chelyabinsk
889,"{'MRV', 'DME'}",195.0,MRV,DME,Mineralnyye Vody,Moscow
890,"{'MRV', 'KLF'}",185.0,MRV,KLF,Mineralnyye Vody,Kaluga
891,"{'MRV', 'KUF'}",160.0,MRV,KUF,Mineralnyye Vody,Samara
892,"{'MRV', 'LED'}",180.0,MRV,LED,Mineralnyye Vody,St. Petersburg
893,"{'MRV', 'MQF'}",160.0,MRV,MQF,Mineralnyye Vody,Magnitogorsk
894,"{'MRV', 'NBC'}",170.0,MRV,NBC,Mineralnyye Vody,Nizhnekamsk
895,"{'MRV', 'PEE'}",197.5,MRV,PEE,Mineralnyye Vody,Perm
896,"{'MRV', 'SVO'}",197.5,MRV,SVO,Mineralnyye Vody,Moscow
897,"{'MRV', 'UFA'}",170.0,MRV,UFA,Mineralnyye Vody,Ufa
898,"{'MRV', 'VKO'}",142.5,MRV,VKO,Mineralnyye Vody,Moscow
899,"{'MRV', 'VOG'}",130.0,MRV,VOG,Mineralnyye Vody,Volgograd
900,"{'MSQ', 'LED'}",85.0,MSQ,LED,Minsk,St. Petersburg
901,"{'MSQ', 'SVO'}",90.0,MSQ,SVO,Minsk,Moscow
902,"{'MSQ', 'VKO'}",85.0,MSQ,VKO,Minsk,Moscow
903,"{'MUC', 'AGP'}",180.0,MUC,AGP,Munich,Málaga
904,"{'ALC', 'MUC'}",155.0,ALC,MUC,Alicante,Munich
905,"{'ARN', 'MUC'}",135.0,ARN,MUC,Stockholm,Munich
906,"{'MUC', 'BCN'}",125.0,MUC,BCN,Munich,Barcelona
907,"{'MUC', 'BHX'}",115.0,MUC,BHX,Munich,Birmingham
908,"{'MUC', 'BLQ'}",67.5,MUC,BLQ,Munich,Bologna
909,"{'MUC', 'BRU'}",77.5,MUC,BRU,Munich,Zaventem
910,"{'DRS', 'MUC'}",55.0,DRS,MUC,Dresden,Munich
911,"{'MUC', 'FMO'}",65.0,MUC,FMO,Munich,Greven
912,"{'MUC', 'FUE'}",265.0,MUC,FUE,Munich,El Matorral
913,"{'MUC', 'GRZ'}",50.0,MUC,GRZ,Munich,Feldkirchen bei Graz
914,"{'MUC', 'HAM'}",77.5,MUC,HAM,Munich,Hamburg
915,"{'MUC', 'LGW'}",110.0,MUC,LGW,Munich,"Gatwick, Surrey"
916,"{'MUC', 'PRN'}",120.0,MUC,PRN,Munich,Prishtina
917,"{'MUC', 'SKG'}",130.0,MUC,SKG,Munich,Thessaloniki
918,"{'MUC', 'STR'}",50.0,MUC,STR,Munich,Stuttgart
919,"{'MUC', 'VLC'}",145.0,MUC,VLC,Munich,Valencia
920,"{'MXP', 'ALC'}",127.5,MXP,ALC,Ferno (VA),Alicante
921,"{'MXP', 'AMS'}",117.5,MXP,AMS,Ferno (VA),Amsterdam
922,"{'MXP', 'ATH'}",147.5,MXP,ATH,Ferno (VA),Spata-Artemida
923,"{'MXP', 'BCM'}",150.0,MXP,BCM,Ferno (VA),Bacău
924,"{'MXP', 'BCN'}",97.5,MXP,BCN,Ferno (VA),Barcelona
925,"{'MXP', 'CAG'}",90.0,MXP,CAG,Ferno (VA),Cagliari
926,"{'MXP', 'CDG'}",90.0,MXP,CDG,Ferno (VA),Paris
927,"{'MXP', 'CTA'}",117.5,MXP,CTA,Ferno (VA),Catania
928,"{'MXP', 'FUE'}",245.0,MXP,FUE,Ferno (VA),El Matorral
929,"{'MXP', 'HEL'}",185.0,MXP,HEL,Ferno (VA),Helsinki
930,"{'MXP', 'LGW'}",116.25,MXP,LGW,Ferno (VA),"Gatwick, Surrey"
931,"{'MXP', 'MAD'}",142.5,MXP,MAD,Ferno (VA),Madrid
932,"{'MXP', 'MUC'}",70.0,MXP,MUC,Ferno (VA),Munich
933,"{'MXP', 'OPO'}",155.0,MXP,OPO,Ferno (VA),Porto
934,"{'MXP', 'ORY'}",95.0,MXP,ORY,Ferno (VA),Paris
935,"{'MXP', 'PRN'}",130.0,MXP,PRN,Ferno (VA),Prishtina
936,"{'MXP', 'RZE'}",127.5,MXP,RZE,Ferno (VA),Jasionka
937,"{'MXP', 'SUF'}",110.0,MXP,SUF,Ferno (VA),Lamezia Terme (CZ)
938,"{'MXP', 'TGD'}",110.0,MXP,TGD,Ferno (VA),Podgorica
939,"{'MXP', 'VIE'}",90.0,MXP,VIE,Ferno (VA),Vienna
940,"{'MXP', 'VNO'}",165.0,MXP,VNO,Ferno (VA),Vilnius
941,"{'MXP', 'ZRH'}",57.5,MXP,ZRH,Ferno (VA),Zurich
942,"{'NAP', 'BCN'}",117.5,NAP,BCN,Napoli,Barcelona
943,"{'NAP', 'BGY'}",85.0,NAP,BGY,Napoli,Orio al Serio (BG)
944,"{'NAP', 'CRL'}",137.5,NAP,CRL,Napoli,Charleroi
945,"{'NAP', 'CTA'}",65.0,NAP,CTA,Napoli,Catania
946,"{'NAP', 'FCO'}",55.0,NAP,FCO,Napoli,Rome
947,"{'NAP', 'KRK'}",120.0,NAP,KRK,Napoli,Balice
948,"{'NAP', 'LIN'}",77.5,NAP,LIN,Napoli,Segrate (MI)
949,"{'NAP', 'MXP'}",92.5,NAP,MXP,Napoli,Ferno (VA)
950,"{'NAP', 'OTP'}",117.5,NAP,OTP,Napoli,Otopeni
951,"{'NAP', 'PMO'}",60.0,NAP,PMO,Napoli,Palermo
952,"{'NAP', 'SOF'}",100.0,NAP,SOF,Napoli,Sofia
953,"{'NAP', 'STN'}",175.0,NAP,STN,Napoli,London
954,"{'NAP', 'TRS'}",75.0,NAP,TRS,Napoli,Ronchi dei Legionari (GO)
955,"{'NAP', 'VCE'}",80.0,NAP,VCE,Napoli,Venezia (VE)
956,"{'NAP', 'VIE'}",105.0,NAP,VIE,Napoli,Vienna
957,"{'NAP', 'VLC'}",125.0,NAP,VLC,Napoli,Valencia
958,"{'NBC', 'LED'}",145.0,NBC,LED,Nizhnekamsk,St. Petersburg
959,"{'NCE', 'BCN'}",80.0,NCE,BCN,Nice,Barcelona
960,"{'NCE', 'BIA'}",50.0,NCE,BIA,Nice,Bastia/Poretta
961,"{'NCE', 'CDG'}",96.66666666666669,NCE,CDG,Nice,Paris
962,"{'NCE', 'MAD'}",120.0,NCE,MAD,Nice,Madrid
963,"{'NCE', 'ZRH'}",72.5,NCE,ZRH,Nice,Zurich
964,"{'NCL', 'AGP'}",190.0,NCL,AGP,Newcastle,Málaga
965,"{'NCL', 'ALC'}",177.5,NCL,ALC,Newcastle,Alicante
966,"{'NCL', 'FUE'}",275.0,NCL,FUE,Newcastle,El Matorral
967,"{'NNM', 'KZN'}",145.0,NNM,KZN,Naryan Mar,Kazan
968,"{'NOZ', 'SVO'}",287.5,NOZ,SVO,Novokuznetsk,Moscow
969,"{'NQY', 'LGW'}",80.0,NQY,LGW,Newquay,"Gatwick, Surrey"
970,"{'NRN', 'AGP'}",182.5,NRN,AGP,Weeze,Málaga
971,"{'NRN', 'SKG'}",170.0,NRN,SKG,Weeze,Thessaloniki
972,"{'NTE', 'ACE'}",195.0,NTE,ACE,Nantes,San Bartolomé
973,"{'NTE', 'AMS'}",92.5,NTE,AMS,Nantes,Amsterdam
974,"{'NTE', 'FUE'}",200.0,NTE,FUE,Nantes,El Matorral
975,"{'NTE', 'GVA'}",82.5,NTE,GVA,Nantes,Geneva
976,"{'NTE', 'MAD'}",100.0,NTE,MAD,Nantes,Madrid
977,"{'NTE', 'MRS'}",90.0,NTE,MRS,Nantes,Marseille
978,"{'NUE', 'SKG'}",145.0,NUE,SKG,Nuremberg,Thessaloniki
979,"{'NYO', 'OTP'}",175.0,NYO,OTP,Nyköping,Otopeni
980,"{'OGZ', 'VKO'}",175.0,OGZ,VKO,Beslan,Moscow
981,"{'OHD', 'ZRH'}",125.0,OHD,ZRH,Ohrid,Zurich
982,"{'OLB', 'FCO'}",60.0,OLB,FCO,Olbia (SS),Rome
983,"{'OLB', 'LIN'}",67.5,OLB,LIN,Olbia (SS),Segrate (MI)
984,"{'OMR', 'OTP'}",82.5,OMR,OTP,Oradea,Otopeni
985,"{'MAD', 'OPO'}",80.0,MAD,OPO,Madrid,Porto
986,"{'ORY', 'ACE'}",235.0,ORY,ACE,Paris,San Bartolomé
987,"{'ORY', 'AGP'}",150.0,ORY,AGP,Paris,Málaga
988,"{'ORY', 'BCN'}",100.0,ORY,BCN,Paris,Barcelona
989,"{'ORY', 'BIA'}",100.0,ORY,BIA,Paris,Bastia/Poretta
990,"{'ORY', 'IVL'}",265.0,ORY,IVL,Paris,Ivalo
991,"{'ORY', 'LDE'}",85.0,ORY,LDE,Paris,Tarbes/Lourdes/Pyrénées
992,"{'ORY', 'LGW'}",72.5,ORY,LGW,Paris,"Gatwick, Surrey"
