id,ident,type,airport name,latitude_left,longitude_left,elevation_ft,continent,iso_country,iso_region,airport city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,geometry,index_right,nearest city,latitude_right,longitude_right,country,iso2,admin_name,capital,population,population_proper,distance
2625,EPPO,medium_airport,Poznań-Ławica Airport,52.421001,16.8263,308.0,EU,PL,PL-WP,Poznań,yes,EPPO,POZ,,http://www.airport-poznan.com.pl/en/,https://en.wikipedia.org/wiki/Pozna%C5%84-%C5%81awica_Airport,,POINT (16.8263 52.421001),3732,Poznań,52.4083,16.9336,Poland,PL,Wielkopolskie,admin,546859.0,546859.0,0.10804908792303478
2628,EPRA,medium_airport,Radom Airport,51.389198,21.213301,610.0,EU,PL,PL-MZ,Radom,yes,EPRA,RDO,,http://lotnisko-radom.eu/pl/,https://en.wikipedia.org/wiki/Radom_Airport,"Radom Military Air Base, Radom-Sadków Airport",POINT (21.213301 51.389198),3742,Radom,51.4036,21.1567,Poland,PL,Mazowieckie,minor,219703.0,201601.0,0.058404544386545604
2629,EPRZ,medium_airport,Rzeszów-Jasionka Airport,50.109791,22.024155,693.0,EU,PL,PL-PK,Jasionka,yes,EPRZ,RZE,,https://www.rzeszowairport.pl,https://en.wikipedia.org/wiki/Rzesz%C3%B3w-Jasionka_Airport,,POINT (22.024155 50.109791),3745,Rzeszów,50.0333,22.0,Poland,PL,Podkarpackie,admin,195871.0,195871.0,0.08021431983131613
2630,EPSC,medium_airport,"Szczecin-Goleniów ""Solidarność"" Airport",53.584702,14.9022,154.0,EU,PL,PL-ZP,Goleniow,yes,EPSC,SZZ,,http://www.airport.com.pl/en/index.php,https://en.wikipedia.org/wiki/Szczecin-Goleni%C3%B3w_%22Solidarno%C5%9B%C4%87%22_Airport,,POINT (14.9022 53.584702),3734,Szczecin,53.4325,14.5481,Poland,PL,Zachodniopomorskie,admin,403833.0,396168.0,0.38542477710183776
2635,EPSY,medium_airport,Olsztyn-Mazury Airport,53.481899,20.9377,463.0,EU,PL,PL-WN,Olsztyn,yes,EPSY,SZY,,http://mazuryairport.pl/,https://en.wikipedia.org/wiki/Olsztyn-Mazury_Airport,,POINT (20.9377 53.481899),3749,Olsztyn,53.7778,20.4792,Poland,PL,Warmińsko-Mazurskie,admin,173599.0,170225.0,0.5456919019016143
2637,EPWA,large_airport,Warsaw Chopin Airport,52.1656990051,20.9671001434,362.0,EU,PL,PL-MZ,Warsaw,yes,EPWA,WAW,,http://www.lotnisko-chopina.pl/?lang=en,https://en.wikipedia.org/wiki/Warsaw_Frederic_Chopin_Airport,Okęcie,POINT (20.9671001434 52.1656990051),3728,Warsaw,52.23,21.0111,Poland,PL,Mazowieckie,primary,1860281.0,1860281.0,0.0779140893930593
2638,EPWR,medium_airport,Copernicus Wrocław Airport,51.103719,16.882096,404.0,EU,PL,PL-DS,Wrocław,yes,EPWR,WRO,,http://www.airport.wroclaw.pl/en/index.php,https://en.wikipedia.org/wiki/Copernicus_Airport_Wroc%C5%82aw,"Strachowice, Breslau, Wroclaw",POINT (16.882096 51.103719),3731,Wrocław,51.11,17.0325,Poland,PL,Dolnośląskie,admin,672929.0,672929.0,0.1505350928421658
2648,ESGG,large_airport,Gothenburg-Landvetter Airport,57.662799835205,12.279800415039,506.0,EU,SE,SE-Q,Gothenburg,yes,ESGG,GOT,,https://www.swedavia.com/landvetter/,https://en.wikipedia.org/wiki/Gothenburg-Landvetter_Airport,Göteborg-Landvetter,POINT (12.279800415039 57.662799835205),5010,Gothenburg,57.7075,11.9675,Sweden,SE,Västra Götaland,admin,607882.0,607882.0,0.3154832071065474
2660,ESKN,medium_airport,Stockholm Skavsta Airport,58.788601,16.912201,140.0,EU,SE,SE-D,Nyköping,yes,ESKN,NYO,,,https://en.wikipedia.org/wiki/Stockholm-Skavsta_Airport,,POINT (16.912201 58.788601),5013,Norrköping,58.6,16.2,Sweden,SE,Östergötland,minor,137326.0,137326.0,0.7367500265368165
2669,ESMS,medium_airport,Malmö Sturup Airport,55.536305,13.376198,236.0,EU,SE,SE-M,Malmö,yes,ESMS,MMX,,http://www.swedavia.com/malmo/,https://en.wikipedia.org/wiki/Malm%C3%B6_Airport,,POINT (13.376198 55.536305),5011,Malmö,55.6058,13.0358,Sweden,SE,Skåne,admin,351749.0,351749.0,0.3474195639698501
2689,ESNU,medium_airport,Umeå Airport,63.791801452637,20.282800674438,24.0,EU,SE,SE-AC,Umeå,yes,ESNU,UME,,https://www.swedavia.com/umea/,https://en.wikipedia.org/wiki/Ume%C3%A5_Airport,,POINT (20.282800674438 63.791801452637),2112,Turku,60.45,22.2667,Finland,FI,Varsinais-Suomi,admin,252468.0,187604.0,3.8863213303601287
2697,ESPA,medium_airport,Luleå Airport,65.5438,22.122,65.0,EU,SE,SE-BD,Luleå,yes,ESPA,LLA,,https://www.swedavia.com/lulea/,https://en.wikipedia.org/wiki/Lule%C3%A5_Airport,Kallax Air Base,POINT (22.122 65.5438),2114,Oulu,65.0142,25.4719,Finland,FI,Pohjois-Pohjanmaa,admin,208939.0,200526.0,3.391505000733452
2701,ESSA,large_airport,Stockholm-Arlanda Airport,59.651901245117,17.918600082397,137.0,EU,SE,SE-AB,Stockholm,yes,ESSA,ARN,,http://www.swedavia.se/arlanda/,https://en.wikipedia.org/wiki/Stockholm-Arlanda_Airport,,POINT (17.918600082397 59.651901245117),5012,Uppsala,59.8581,17.6447,Sweden,SE,Uppsala,admin,166698.0,166698.0,0.342839877570246
2702,ESSB,medium_airport,Stockholm-Bromma Airport,59.354400634765625,17.941699981689453,47.0,EU,SE,SE-AB,Stockholm,yes,ESSB,BMA,,,https://en.wikipedia.org/wiki/Stockholm-Bromma_Airport,,POINT (17.941699981689453 59.354400634765625),5009,Stockholm,59.3294,18.0686,Sweden,SE,Stockholm,primary,1611776.0,978770.0,0.12933926853783162
2758,EVRA,large_airport,Riga International Airport,56.923599,23.9711,36.0,EU,LV,LV-062,Riga,yes,EVRA,RIX,,http://www.riga-airport.com/,https://en.wikipedia.org/wiki/Riga_International_Airport,,POINT (23.9711 56.923599),7037,Riga,56.9489,24.1064,Latvia,LV,Rīga,primary,920643.0,605802.0,0.13764530722476584
2760,EYKA,medium_airport,Kaunas International Airport,54.96390151977539,24.084800720214844,256.0,EU,LT,LT-KU,Kaunas,yes,EYKA,KUN,,http://www.kaunasair.lt/index.php?lang=2&m=2&p=210,https://en.wikipedia.org/wiki/Kaunas_Airport,Kauno tarptautinis Oro Uostas,POINT (24.084800720214844 54.96390151977539),6044,Kaunas,54.8972,23.8861,Lithuania,LT,Kauno Miestas,admin,381007.0,305120.0,0.2095973972983565
2762,EYPA,medium_airport,Palanga International Airport,55.97320175170898,21.093900680541992,33.0,EU,LT,LT-KL,Palanga,yes,EYPA,PLQ,,http://www.palanga-airport.lt/,https://en.wikipedia.org/wiki/Palanga_International_Airport,,POINT (21.093900680541992 55.97320175170898),6045,Klaipėda,55.75,21.1667,Lithuania,LT,Klaipėdos Miestas,admin,164310.0,158420.0,0.2347738547613529
2766,EYVI,large_airport,Vilnius International Airport,54.634102,25.285801,648.0,EU,LT,LT-VL,Vilnius,yes,EYVI,VNO,,http://www.vilnius-airport.lt/en/,https://en.wikipedia.org/wiki/Vilnius_International_Airport,,POINT (25.285801 54.634102),6043,Vilnius,54.6872,25.28,Lithuania,LT,Vilniaus Miestas,primary,708203.0,581475.0,0.053413942046995774
