,name,iata_code,iso_region,iso_country,coordinates
456,Cholet Le Pontreau Airport,CET,FR-PDL,FR,"-0.8770639896392822, 47.08209991455078"
457,Laval-Entrammes Airport,LVA,FR-PDL,FR,"-0.7429860234260559, 48.03139877319336"
458,Paris-Le Bourget Airport,LBG,FR-IDF,FR,"2.441390037536621, 48.969398498535156"
459,Creil Air Base,CSF,FR-HDF,FR,"2.5191400051116943, 49.253501892089844"
460,Charles de Gaulle International Airport,CDG,FR-IDF,FR,"2.55, 49.012798"
461,Toussus-le-Noble Airport,TNF,FR-IDF,FR,"2.1061899662017822, 48.75189971923828"
462,Paris-Orly Airport,ORY,FR-IDF,FR,"2.3794444, 48.7233333"
463,AÃ©rodrome de Pontoise - Cormeilles en Vexin,POX,FR-IDF,FR,"2.040833, 49.096667"
464,Villacoublay-VÃ©lizy (BA 107) Air Base,VIY,FR-IDF,FR,"2.1916667, 48.7741667"
465,Nevers-Fourchambault Airport,NVS,FR-BFC,FR,"3.1133298873901367, 47.002601623535156"
466,Maubeuge-Ãlesmes Airport,XME,FR-HDF,FR,"4.033120155334473, 50.31050109863281"
467,Lille-Lesquin Airport,LIL,FR-HDF,FR,"3.086886, 50.563332"
468,Merville-Calonne Airport,HZB,FR-HDF,FR,"2.642240047454834, 50.61840057373047"
469,Charleville-MÃ©ziÃ¨res Airport,XCZ,FR-GES,FR,"4.647079944610596, 49.78390121459961"
470,Brest Bretagne Airport,BES,FR-BRE,FR,"-4.418540000915527, 48.447898864746094"
471,Cherbourg-Maupertus Airport,CER,FR-NOR,FR,"-1.4702800512313843, 49.65010070800781"
472,Dinard-Pleurtuit-Saint-Malo Airport,DNR,FR-BRE,FR,"-2.0799601078033447, 48.58769989013672"
473,La Baule-Escoublac Airport,LBY,FR-PDL,FR,"-2.3463900089263916, 47.289398193359375"
474,Granville Airport,GFR,FR-NOR,FR,"-1.564170002937317, 48.88309860229492"
475,Deauville-Saint-Gatien Airport,DOL,FR-NOR,FR,"0.154305994511, 49.3652992249"
476,Lorient South Brittany (Bretagne Sud) Airport,LRT,FR-BRE,FR,"-3.440000057220459, 47.76060104370117"
477,La Roche-sur-Yon Airport,EDM,FR-PDL,FR,"-1.3786300420761108, 46.701900482177734"
478,Landivisiau Air Base,LDV,FR-BRE,FR,"-4.151639938354492, 48.53030014038086"
479,Caen-Carpiquet Airport,CFR,FR-NOR,FR,"-0.44999998807907104, 49.173301696777344"
480,Le Mans-Arnage Airport,LME,FR-PDL,FR,"0.20166699588298798, 47.94860076904297"
481,Rennes-Saint-Jacques Airport,RNS,FR-BRE,FR,"-1.73479, 48.0695"
482,Lannion-CÃ´te de Granit Airport,LAI,FR-BRE,FR,"-3.47166, 48.754398"
483,Quimper-Cornouaille Airport,UIP,FR-BRE,FR,"-4.167789936065674, 47.974998474121094"
484,Nantes Atlantique Airport,NTE,FR-PDL,FR,"-1.61073005199, 47.153198242200006"
485,Saint-Brieuc-Armor Airport,SBK,FR-BRE,FR,"-2.85444, 48.5378"
