route,time,departure airport,arrival airport,departure city,arrival city
"{'ATH', 'SKG'}",53.333333333333336,ATH,SKG,Athens,Thessaloníki
"{'SMI', 'ATH'}",65.0,SMI,ATH,Kuşadası,Athens
"{'ATH', 'ZRH'}",165.0,ATH,ZRH,Athens,Zürich
"{'AGP', 'BCN'}",92.5,AGP,BCN,Málaga,Barcelona
"{'BLQ', 'BCN'}",100.0,BLQ,BCN,Bologna,Barcelona
"{'BOD', 'BCN'}",75.0,BOD,BCN,Bordeaux,Barcelona
"{'BRU', 'BCN'}",120.0,BRU,BCN,Brussels,Barcelona
"{'CAG', 'BCN'}",90.0,CAG,BCN,Cagliari,Barcelona
"{'CRL', 'BCN'}",115.0,CRL,BCN,Brussels,Barcelona
"{'GOA', 'BCN'}",95.0,GOA,BCN,Genoa,Barcelona
"{'GOT', 'BCN'}",190.0,GOT,BCN,Gothenburg,Barcelona
"{'LGW', 'BCN'}",125.0,LGW,BCN,London,Barcelona
"{'MST', 'BCN'}",120.0,MST,BCN,Maastricht,Barcelona
"{'OPO', 'BCN'}",105.0,OPO,BCN,Porto,Barcelona
"{'OTP', 'BCN'}",205.0,OTP,BCN,Bucharest,Barcelona
"{'BEG', 'ATH'}",100.0,BEG,ATH,Belgrade,Athens
"{'BEG', 'BCN'}",165.0,BEG,BCN,Belgrade,Barcelona
"{'BEG', 'BUD'}",65.0,BEG,BUD,Belgrade,Budapest
"{'BEG', 'BVA'}",152.5,BEG,BVA,Belgrade,Amiens
"{'BEG', 'CDG'}",155.0,BEG,CDG,Belgrade,Paris
"{'BEG', 'INI'}",55.0,BEG,INI,Belgrade,Niš
"{'BEG', 'KZN'}",245.0,BEG,KZN,Belgrade,Kazan
"{'BEG', 'LED'}",172.5,BEG,LED,Belgrade,Saint Petersburg
"{'BEG', 'LIS'}",240.0,BEG,LIS,Belgrade,Lisbon
"{'BEG', 'OSL'}",170.0,BEG,OSL,Belgrade,Oslo
"{'BEG', 'SVO'}",190.0,BEG,SVO,Belgrade,Moscow
"{'BEG', 'TGD'}",53.75,BEG,TGD,Belgrade,Shkodër
"{'BEG', 'VIE'}",90.0,BEG,VIE,Belgrade,Vienna
"{'BEG', 'WAW'}",100.0,BEG,WAW,Belgrade,Warsaw
"{'BEG', 'ZRH'}",100.0,BEG,ZRH,Belgrade,Zürich
"{'BFS', 'ALC'}",177.5,BFS,ALC,Belfast,Alicante
"{'BFS', 'BHX'}",65.0,BFS,BHX,Belfast,Birmingham
"{'BFS', 'EDI'}",52.5,BFS,EDI,Belfast,Dunfermline
"{'BFS', 'GVA'}",135.0,BFS,GVA,Belfast,Geneva
"{'BGC', 'VRL'}",20.0,BGC,VRL,Bragança,Vila Real
"{'AGP', 'BGO'}",240.0,AGP,BGO,Málaga,Bergen
"{'BGY', 'AGP'}",155.0,BGY,AGP,Monza,Málaga
"{'ALC', 'BGY'}",130.0,ALC,BGY,Alicante,Monza
"{'ARN', 'BGY'}",165.0,ARN,BGY,Stockholm,Monza
"{'BGY', 'BCN'}",100.0,BGY,BCN,Monza,Barcelona
"{'BRS', 'BGY'}",120.0,BRS,BGY,Bristol,Monza
"{'BVA', 'BGY'}",90.0,BVA,BGY,Amiens,Monza
