departure city,arrival city
Zemun,Khimki
Zemun,Kamëz
Zemun,Kamëz
Zemun,Vienna
Zemun,Warsaw
Zemun,Zürich
Belfast,Alicante
Belfast,Solihull
Belfast,Aberdeen
Belfast,Geneva
León,Aves
Málaga,Bergen
Bergamo,Málaga
Alicante,Bergamo
Uppsala,Bergamo
Bergamo,Barcelona
Bristol,Bergamo
Amiens,Bergamo
Bergamo,Cagliari
Bergamo,Charleroi
Bergamo,Iaşi
Bergamo,Maia
Bergamo,Bucharest
Giugliano in Campania,Bergamo
Bergamo,Reggio di Calabria
Bergamo,Valencia
Belfast,Hoofddorp
Belfast,Solihull
Belfast,Croydon
Belfast,Harrow
Belfast,Liverpool
Belfast,Sale
Solihull,Málaga
Solihull,Barcelona
Solihull,Craiova
Solihull,Las Palmas
Solihull,Maia
Solihull,Bucharest
Solihull,Poznań
Solihull,Valencia
Bilbao,Las Palmas
Bilbao,Hoofddorp
Bilbao,Barcelona
Bilbao,Paris
Bilbao,Las Palmas
Bilbao,Croydon
Bilbao,Torrejón de Ardoz
Bilbao,Munich
Bilbao,Maia
Gdynia,Aarhus
