route,time,departure airport,arrival airport,city2,city1
"{'WAW', 'LTN'}",155.0,WAW,LTN,Luton,Warsaw
"{'WAW', 'GDN'}",57.5,WAW,GDN,Gdansk,Warsaw
"{'WAW', 'HEL'}",105.0,WAW,HEL,Helsinki,Warsaw
"{'WAW', 'ZRH'}",125.0,WAW,ZRH,Zurich,Warsaw
"{'WAW', 'BUD'}",80.0,WAW,BUD,Budapest,Warsaw
"{'WAW', 'LHR'}",170.0,WAW,LHR,London,Warsaw
"{'WAW', 'WRO'}",56.66666666666666,WAW,WRO,Wroclaw,Warsaw
"{'AMS', 'ABZ'}",85.0,AMS,ABZ,Aberdeen,Amsterdam
"{'AMS', 'BCN'}",142.5,AMS,BCN,Barcelona,Amsterdam
"{'AMS', 'BHX'}",80.0,AMS,BHX,Birmingham,Amsterdam
"{'AMS', 'CDG'}",80.0,AMS,CDG,Paris,Amsterdam
"{'AMS', 'HAM'}",70.0,AMS,HAM,Hamburg,Amsterdam
"{'AMS', 'SOU'}",75.0,AMS,SOU,Southampton,Amsterdam
"{'AMS', 'ALC'}",172.5,AMS,ALC,Alicante,Amsterdam
"{'AMS', 'GDN'}",110.0,AMS,GDN,Gdansk,Amsterdam
"{'AMS', 'ARN'}",130.0,AMS,ARN,Stockholm,Amsterdam
"{'AMS', 'BRS'}",85.0,AMS,BRS,Bristol,Amsterdam
"{'AMS', 'CWL'}",80.0,AMS,CWL,Cardiff,Amsterdam
"{'AMS', 'FLR'}",130.0,AMS,FLR,Firenze,Amsterdam
"{'AMS', 'HEL'}",160.0,AMS,HEL,Helsinki,Amsterdam
"{'AMS', 'NWI'}",55.0,AMS,NWI,Norwich,Amsterdam
"{'AMS', 'VLC'}",160.0,AMS,VLC,Valencia,Amsterdam
"{'AMS', 'ZRH'}",102.5,AMS,ZRH,Zurich,Amsterdam
"{'ALC', 'BCN'}",70.0,ALC,BCN,Barcelona,Alicante
"{'ALC', 'BHX'}",160.0,ALC,BHX,Birmingham,Alicante
"{'ALC', 'HAM'}",175.0,ALC,HAM,Hamburg,Alicante
"{'ALC', 'LPL'}",170.0,ALC,LPL,Liverpool,Alicante
"{'ALC', 'MAD'}",70.0,ALC,MAD,Madrid,Alicante
"{'ALC', 'GDN'}",217.5,ALC,GDN,Gdansk,Alicante
"{'ALC', 'MST'}",155.0,ALC,MST,Maastricht,Alicante
"{'ALC', 'WMI'}",205.0,ALC,WMI,Warsaw,Alicante
"{'ALC', 'ARN'}",245.0,ALC,ARN,Stockholm,Alicante
"{'ALC', 'BRS'}",160.0,ALC,BRS,Bristol,Alicante
"{'EDI', 'BCN'}",160.0,EDI,BCN,Barcelona,Edinburgh
"{'EDI', 'BHX'}",65.0,EDI,BHX,Birmingham,Edinburgh
"{'EDI', 'CRL'}",105.0,EDI,CRL,Charleroi,Edinburgh
"{'EDI', 'MAD'}",175.0,EDI,MAD,Madrid,Edinburgh
"{'EDI', 'BRS'}",75.0,EDI,BRS,Bristol,Edinburgh
"{'FLR', 'CDG'}",110.0,FLR,CDG,Paris,Firenze
"{'FLR', 'MAD'}",145.0,FLR,MAD,Madrid,Firenze
"{'INN', 'EDI'}",155.0,INN,EDI,Edinburgh,Innsbruck
"{'INN', 'BRS'}",127.5,INN,BRS,Bristol,Innsbruck
"{'INN', 'VIE'}",57.5,INN,VIE,Vienna,Innsbruck
"{'INN', 'FRA'}",65.0,INN,FRA,Frankfurt am Main,Innsbruck
"{'BCN', 'CRL'}",135.0,BCN,CRL,Charleroi,Barcelona
"{'BCN', 'MAD'}",85.0,BCN,MAD,Madrid,Barcelona
"{'BCN', 'GOA'}",95.0,BCN,GOA,Genova,Barcelona
"{'CDG', 'BCN'}",105.0,CDG,BCN,Barcelona,Paris
"{'ORY', 'BCN'}",100.0,ORY,BCN,Barcelona,Paris
"{'CDG', 'BHX'}",85.0,CDG,BHX,Birmingham,Paris
"{'ORY', 'MAD'}",125.0,ORY,MAD,Madrid,Paris
