,route,time,departure airport,arrival airport,departure city,arrival city,transit_distance [m],transit_time [s]
231,"{'BGY', 'BRS'}",125.0,BGY,BRS,Monza,Bristol,1799766,54900
232,"{'GNB', 'BRS'}",112.5,GNB,BRS,Grenoble,Bristol,1282840,34740
233,"{'BRS', 'OPO'}",125.0,BRS,OPO,Bristol,Porto,2976276,130680
234,"{'BRS', 'POZ'}",135.0,BRS,POZ,Bristol,Poznań,1648419,70560
236,"{'BCN', 'BRU'}",130.0,BCN,BRU,Barcelona,Brussels,1432390,34020
239,"{'BSL', 'AMS'}",85.0,BSL,AMS,Freiburg im Breisgau,Amsterdam,688647,24420
240,"{'BSL', 'CDG'}",75.0,BSL,CDG,Freiburg im Breisgau,Paris,587969,15600
241,"{'BSL', 'CTA'}",135.0,BSL,CTA,Freiburg im Breisgau,Catania,1680223,71642
242,"{'BSL', 'MUC'}",60.0,BSL,MUC,Freiburg im Breisgau,Munich,486121,21720
243,"{'BSL', 'OTP'}",152.5,BSL,OTP,Freiburg im Breisgau,Bucharest,2103652,97860
244,"{'BSL', 'PRN'}",130.0,BSL,PRN,Freiburg im Breisgau,Pristina,1774350,126989
245,"{'BSL', 'SUF'}",130.0,BSL,SUF,Freiburg im Breisgau,Cosenza,1486594,65229
246,"{'BTS', 'KUN'}",105.0,BTS,KUN,Bratislava,Kaunas,1029187,61101
247,"{'BTS', 'LTN'}",150.0,BTS,LTN,Bratislava,London,1962440,81720
248,"{'BUD', 'AGP'}",213.75,BUD,AGP,Budapest,Málaga,3541359,127620
249,"{'BUD', 'ARN'}",145.0,BUD,ARN,Budapest,Stockholm,2525684,106740
250,"{'BUD', 'ATH'}",120.0,BUD,ATH,Budapest,Athens,2163555,151980
251,"{'BUD', 'BCN'}",157.5,BUD,BCN,Budapest,Barcelona,2377725,88560
252,"{'BUD', 'BGY'}",94.5,BUD,BGY,Budapest,Monza,1100284,47580
253,"{'BUD', 'BHX'}",165.0,BUD,BHX,Budapest,Birmingham,2294459,91920
254,"{'BUD', 'BLQ'}",90.0,BUD,BLQ,Budapest,Bologna,1134332,45960
255,"{'BUD', 'BRS'}",160.0,BUD,BRS,Budapest,Bristol,2309420,93780
256,"{'BUD', 'CIA'}",100.0,BUD,CIA,Budapest,Rome,1350296,74400
257,"{'BUD', 'CRL'}",122.5,BUD,CRL,Budapest,Brussels,1587661,71340
258,"{'BUD', 'CTA'}",130.0,BUD,CTA,Budapest,Catania,2223075,104373
259,"{'BUD', 'HEL'}",142.5,BUD,HEL,Budapest,Helsinki,3019434,171300
260,"{'BUD', 'LHR'}",170.0,BUD,LHR,Budapest,London,2114894,86580
262,"{'BUD', 'LTN'}",157.5,BUD,LTN,Budapest,London,2114894,86580
264,"{'BUD', 'MAD'}",205.0,BUD,MAD,Budapest,Madrid,2997396,115200
265,"{'BUD', 'MRS'}",130.0,BUD,MRS,Budapest,Marseille,1810930,85150
266,"{'BUD', 'MXP'}",105.0,BUD,MXP,Budapest,Novara,1138239,49620
267,"{'BUD', 'PRG'}",72.5,BUD,PRG,Budapest,Prague,537011,24180
268,"{'BUD', 'WAW'}",77.5,BUD,WAW,Budapest,Warsaw,864909,36120
269,"{'BVA', 'BCN'}",105.0,BVA,BCN,Amiens,Barcelona,1225447,32640
270,"{'BGY', 'BVA'}",100.0,BGY,BVA,Monza,Amiens,1043044,38520
271,"{'BVA', 'OPO'}",132.5,BVA,OPO,Amiens,Porto,2409066,151260
272,"{'BZG', 'LTN'}",135.0,BZG,LTN,Bydgoszcz,London,1724709,86280
274,"{'BZR', 'CRL'}",100.0,BZR,CRL,Sète,Brussels,1117195,30597
275,"{'CDG', 'AGP'}",165.0,CDG,AGP,Paris,Málaga,2199362,49980
277,"{'ARN', 'CDG'}",165.0,ARN,CDG,Stockholm,Paris,2400379,81060
278,"{'CDG', 'BCN'}",105.0,CDG,BCN,Paris,Barcelona,1088908,24540
280,"{'CDG', 'BHX'}",85.0,CDG,BHX,Paris,Birmingham,683268,16560
281,"{'CDG', 'BLQ'}",105.0,CDG,BLQ,Paris,Bologna,1039709,30660
282,"{'CDG', 'BOD'}",85.0,CDG,BOD,Paris,Bordeaux,566866,9000
283,"{'CDG', 'BRU'}",70.0,CDG,BRU,Paris,Brussels,315156,5460
284,"{'CDG', 'GOT'}",140.0,CDG,GOT,Paris,Gothenburg,1857312,71880
285,"{'HEL', 'CDG'}",200.0,HEL,CDG,Helsinki,Paris,2894179,150720
286,"{'MUC', 'CDG'}",100.0,MUC,CDG,Munich,Paris,909448,21960
287,"{'CDG', 'OTP'}",190.0,CDG,OTP,Paris,Bucharest,2500671,104460
289,"{'CDT', 'NRN'}",152.5,CDT,NRN,Castellón de la Plana,Mönchengladbach,1929591,78420
290,"{'LED', 'CEE'}",55.0,LED,CEE,Saint Petersburg,Cherepovets,883686,34380
291,"{'CEK', 'LED'}",180.0,CEK,LED,Chelyabinsk,Saint Petersburg,3695794,164700
292,"{'SVO', 'CEK'}",155.0,SVO,CEK,Moscow,Chelyabinsk,2431114,114360
293,"{'CEK', 'VKO'}",152.5,CEK,VKO,Chelyabinsk,Moscow,3051899,149400
296,"{'CGN', 'AGP'}",180.0,CGN,AGP,Cologne,Málaga,2451841,99000
297,"{'CGN', 'MUC'}",65.0,CGN,MUC,Cologne,Munich,640538,15900
299,"{'VAR', 'CGN'}",180.0,VAR,CGN,Varna,Cologne,2669996,167989
301,"{'CRL', 'CIA'}",120.0,CRL,CIA,Brussels,Rome,1805330,51480
302,"{'OTP', 'CIA'}",125.0,OTP,CIA,Bucharest,Rome,2361268,109140
303,"{'CLJ', 'BGY'}",121.66666666666669,CLJ,BGY,Cluj-Napoca,Monza,1594627,104160
304,"{'CLJ', 'CIA'}",130.0,CLJ,CIA,Cluj-Napoca,Rome,2067195,94620
305,"{'LTN', 'CLJ'}",175.0,LTN,CLJ,London,Cluj-Napoca,2382029,123960
306,"{'CLJ', 'OTP'}",55.0,CLJ,OTP,Cluj-Napoca,Bucharest,495367,34380
307,"{'CMF', 'BHX'}",115.0,CMF,BHX,Annecy,Birmingham,1294736,37620
308,"{'CPH', 'AAL'}",48.333333333333336,CPH,AAL,Copenhagen,Aalborg,466703,17220
309,"{'CPH', 'AAR'}",40.0,CPH,AAR,Copenhagen,Aarhus,326947,11280
