,dep,arr,time
538,EIN,SZG,85
539,EIN,KRK,115
540,EIN,ALC,150
541,EIN,VNO,130
542,RTM,AGP,170
543,RTM,ALC,145
544,RTM,SZG,85
545,AAR,CPH,40
546,BLL,BZO,135
547,BLL,AMS,75
548,BLL,STN,100
549,BLL,LHR,110
550,BLL,OTP,160
551,CPH,BUD,115
552,CPH,KUN,90
553,CPH,GDN,65
554,CPH,AAL,45
555,CPH,BZO,130
556,CPH,STN,115
557,CPH,MAN,120
558,CPH,GVA,135
559,CPH,AMS,90
560,CPH,GOT,55
561,CPH,ARN,75
562,CPH,AMS,85
563,CPH,VIE,105
564,CPH,SZG,95
565,CPH,CDG,120
566,CPH,ARN,70
567,CPH,LHR,125
568,CPH,MUC,100
569,CPH,FAE,135
570,CPH,FAO,235
571,CPH,GVA,115
572,CPH,OSL,75
573,CPH,FRA,90
574,CPH,HEL,95
575,CPH,GVA,120
576,CPH,ALC,200
577,CPH,AGP,220
578,CPH,VIE,100
579,CPH,MAD,190
580,CPH,ZRH,105
581,CPH,RIX,85
582,AAL,CPH,55
583,AAL,CPH,45
584,AAL,AMS,85
585,LUX,AGP,165
586,LUX,BGY,75
587,LUX,VIE,110
588,LUX,OPO,155
589,AES,ALC,230
590,ANX,TOS,30
591,BNN,BOO,40
592,BOO,SKN,35
593,BOO,TRD,75
594,BGO,SVG,40
595,BGO,TRD,65
596,BGO,HAU,30
597,BGO,KRS,50
598,BGO,AES,50
599,BGO,TRF,50
600,BGO,OSL,60
601,BGO,FRO,35
602,BGO,OSL,50
603,BGO,TOS,120
604,BGO,AMS,110
605,BGO,GOT,75
606,KRS,AMS,95
607,EVE,ANX,25
608,OSL,ALC,225
609,OSL,FRA,140
610,OSL,BGO,55
611,OSL,ZRH,150
612,OSL,ARN,65
613,OSL,AMS,115
614,OSL,LHR,145
615,OSL,BEG,165
616,OSL,SZZ,90
617,OSL,TRD,60
618,OSL,CPH,75
619,OSL,LHR,150
620,OSL,HEL,125
621,OSL,CDG,150
622,OSL,SVG,60
623,OSL,ARN,80
624,OSL,LIS,250
625,OSL,BGO,60
626,OSL,KRK,135
627,LKN,BOO,25
628,MJF,BOO,35
629,SVJ,BOO,25
630,SKN,TOS,40
631,TOS,VIE,220
632,TOS,CDG,240
633,TOS,OSL,115
634,TOS,DUS,210
635,TOS,OSL,120
636,TOS,LTN,235
637,TOS,GDN,170
638,TRF,BGO,55
639,TRF,WAW,110
640,TRF,STN,120
641,TRF,AMS,105
642,TRF,WMI,110
643,TRD,BNN,45
644,TRD,OSL,55
645,TRD,BGO,65
646,TRD,AMS,145
