route,time,departure airport,arrival airport,departure city,arrival city,city1,city2
"{'NAP', 'STN'}",175.0,NAP,STN,Napoli,London,Napoli,London
"{'NAP', 'TRS'}",75.0,NAP,TRS,Napoli,Ronchi dei Legionari (GO),Napoli,Ronchi dei Legionari
"{'NAP', 'VCE'}",80.0,NAP,VCE,Napoli,Venezia (VE),Napoli,Venezia
"{'NAP', 'VIE'}",105.0,NAP,VIE,Napoli,Vienna,Napoli,Vienna
"{'NAP', 'VLC'}",125.0,NAP,VLC,Napoli,Valencia,Napoli,Valencia
"{'NBC', 'LED'}",145.0,NBC,LED,Nizhnekamsk,St. Petersburg,Nizhnekamsk,St. Petersburg
"{'NCE', 'BCN'}",80.0,NCE,BCN,Nice,Barcelona,Nice,Barcelona
"{'NCE', 'BIA'}",50.0,NCE,BIA,Nice,Bastia/Poretta,Nice,Bastia
"{'NCE', 'CDG'}",96.66666666666669,NCE,CDG,Nice,Paris,Nice,Paris
"{'NCE', 'MAD'}",120.0,NCE,MAD,Nice,Madrid,Nice,Madrid
"{'NCE', 'ZRH'}",72.5,NCE,ZRH,Nice,Zurich,Nice,Zurich
"{'NCL', 'AGP'}",190.0,NCL,AGP,Newcastle,Málaga,Newcastle,Malaga
"{'NCL', 'ALC'}",177.5,NCL,ALC,Newcastle,Alicante,Newcastle,Alicante
"{'NCL', 'FUE'}",275.0,NCL,FUE,Newcastle,El Matorral,Newcastle,El Matorral
"{'NNM', 'KZN'}",145.0,NNM,KZN,Naryan Mar,Kazan,Naryan Mar,Kazan
"{'NOZ', 'SVO'}",287.5,NOZ,SVO,Novokuznetsk,Moscow,Novokuznetsk,Moscow
"{'NQY', 'LGW'}",80.0,NQY,LGW,Newquay,"Gatwick, Surrey",Newquay,Gatwick
"{'NRN', 'AGP'}",182.5,NRN,AGP,Weeze,Málaga,Weeze,Malaga
"{'NRN', 'SKG'}",170.0,NRN,SKG,Weeze,Thessaloniki,Weeze,Thessaloniki
"{'NTE', 'ACE'}",195.0,NTE,ACE,Nantes,San Bartolomé,Nantes,San Bartolome
"{'NTE', 'AMS'}",92.5,NTE,AMS,Nantes,Amsterdam,Nantes,Amsterdam
"{'NTE', 'FUE'}",200.0,NTE,FUE,Nantes,El Matorral,Nantes,El Matorral
"{'NTE', 'GVA'}",82.5,NTE,GVA,Nantes,Geneva,Nantes,Geneva
"{'NTE', 'MAD'}",100.0,NTE,MAD,Nantes,Madrid,Nantes,Madrid
"{'NTE', 'MRS'}",90.0,NTE,MRS,Nantes,Marseille,Nantes,Marseille
"{'NUE', 'SKG'}",145.0,NUE,SKG,Nuremberg,Thessaloniki,Nuremberg,Thessaloniki
"{'NYO', 'OTP'}",175.0,NYO,OTP,Nyköping,Otopeni,Nykoping,Otopeni
"{'OGZ', 'VKO'}",175.0,OGZ,VKO,Beslan,Moscow,Beslan,Moscow
"{'OHD', 'ZRH'}",125.0,OHD,ZRH,Ohrid,Zurich,Ohrid,Zurich
"{'OLB', 'FCO'}",60.0,OLB,FCO,Olbia (SS),Rome,Olbia,Rome
"{'OLB', 'LIN'}",67.5,OLB,LIN,Olbia (SS),Segrate (MI),Olbia,Segrate
"{'OMR', 'OTP'}",82.5,OMR,OTP,Oradea,Otopeni,Oradea,Otopeni
"{'MAD', 'OPO'}",80.0,MAD,OPO,Madrid,Porto,Madrid,Postage
"{'ORY', 'ACE'}",235.0,ORY,ACE,Paris,San Bartolomé,Paris,San Bartolome
"{'ORY', 'AGP'}",150.0,ORY,AGP,Paris,Málaga,Paris,Malaga
"{'ORY', 'BCN'}",100.0,ORY,BCN,Paris,Barcelona,Paris,Barcelona
"{'ORY', 'BIA'}",100.0,ORY,BIA,Paris,Bastia/Poretta,Paris,Bastia
"{'ORY', 'IVL'}",265.0,ORY,IVL,Paris,Ivalo,Paris,Ivalo
"{'ORY', 'LDE'}",85.0,ORY,LDE,Paris,Tarbes/Lourdes/Pyrénées,Paris,Tarbes
"{'ORY', 'LGW'}",72.5,ORY,LGW,Paris,"Gatwick, Surrey",Paris,Gatwick
"{'ORY', 'MAD'}",125.0,ORY,MAD,Paris,Madrid,Paris,Madrid
"{'ORY', 'MLA'}",167.5,ORY,MLA,Paris,Valletta,Paris,Valletta
"{'ORY', 'MPL'}",85.0,ORY,MPL,Paris,Montpellier/Méditerranée,Paris,Montpellier
"{'ORY', 'MXP'}",85.0,ORY,MXP,Paris,Ferno (VA),Paris,Ferno
"{'ORY', 'NCE'}",87.5,ORY,NCE,Paris,Nice,Paris,Nice
"{'ORY', 'OPO'}",135.0,ORY,OPO,Paris,Porto,Paris,Postage
